relName,bid,state,releaseId,trackId,error,bsonTag,category,bromaModStatus,bromaStep,inDrafts,inReleases
"Pyara ka Andaz",43689,delivered,6a45efc785cfdba38620b0c0,,"",,NOT_IN_BROMA,-,-,false,false
"Chhauda Chup Chup",43683,delivered,6a45ff9285cfdba38620b0e2,,"",,NOT_IN_BROMA,-,-,false,false
"Chhodh Ke Na Jaa Ooh",43681,delivered,6a46005485cfdba38620b0e5,,"",,NOT_IN_BROMA,-,-,false,false
"Chup tha magar aaj",43658,delivered,6a4607b485cfdba38620b100,,"",,NOT_IN_BROMA,-,-,false,false
"Chupke Se Koi Aayega",43657,delivered,6a460bab85cfdba38620b107,,"",,NOT_IN_BROMA,-,-,false,false
"Chura ke le gaya",43654,delivered,6a460c7d85cfdba38620b10a,,"",,NOT_IN_BROMA,-,-,false,false
"Dadhiya Badhiya Lagela",43653,delivered,6a460dd485cfdba38620b10d,,"",,NOT_IN_BROMA,-,-,false,false
"Dadhiya Badhiya",43650,delivered,6a460f4a85cfdba38620b110,,"",,NOT_IN_BROMA,-,-,false,false
"Dahej Me Du NAli Ke",43649,delivered,6a46102385cfdba38620b113,,"",,NOT_IN_BROMA,-,-,false,false
"Dahej Me Du NAli",43647,delivered,6a47990672193f420bd66a47,,"",,NOT_IN_BROMA,-,-,false,false
"Daiya Daiya Daiya Re",43645,delivered,6a47999872193f420bd66a4a,,"",,NOT_IN_BROMA,-,-,false,false
"Daiya Daiya Daiya",43643,delivered,6a479a6f72193f420bd66a4d,,"",,NOT_IN_BROMA,-,-,false,false
"Le To Aaye Ho Hame Sapno Ke Gaon Mein",43641,delivered,6a479b9772193f420bd66a52,,"",,NOT_IN_BROMA,-,-,false,false
"Chudi Maza Na Degi Kangan Maza Na Dega",43639,delivered,6a479c0c72193f420bd66a55,,"",,NOT_IN_BROMA,-,-,false,false
"Sona Ke Kadar Sonara Jane",43635,delivered,6a479c6572193f420bd66a5b,,"",,NOT_IN_BROMA,-,-,false,false
"Darua Piyal Holau Jaruri",43632,delivered,6a479caa72193f420bd66a5e,,"",,NOT_IN_BROMA,-,-,false,false
"Mere Sathi O",43631,delivered,6a479cc372193f420bd66a61,,"",,NOT_IN_BROMA,-,-,false,false
"Kagaj Kalam Dabat",43628,delivered,6a479d2472193f420bd66a64,,"",,NOT_IN_BROMA,-,-,false,false
"Dekhe sapne chand",43627,delivered,6a479d4a72193f420bd66a67,,"",,NOT_IN_BROMA,-,-,false,false
"Dafli Wale Dafli Baja",43625,delivered,6a479d8a72193f420bd66a6a,,"",,NOT_IN_BROMA,-,-,false,false
"Delhi Dreams",43623,delivered,6a479dd372193f420bd66a6d,,"",,NOT_IN_BROMA,-,-,false,false
"Unse Mili Najar",43621,delivered,6a479dea72193f420bd66a70,,"",,NOT_IN_BROMA,-,-,false,false
"Tere Chehre Mein Wo Jaadu Hai",43619,delivered,6a479e4c72193f420bd66a73,,"",,NOT_IN_BROMA,-,-,false,false
"Delhi Wali",43617,delivered,6a479e7072193f420bd66a76,,"",,NOT_IN_BROMA,-,-,false,false
"Dhaire Bola Ye Koyaliya",43614,delivered,6a479f1972193f420bd66a79,,"",,NOT_IN_BROMA,-,-,false,false
"Dil chura le o chand",43613,delivered,6a479fe772193f420bd66a7c,,"",,NOT_IN_BROMA,-,-,false,false
"Dil Chura Le",43610,delivered,6a47a0f072193f420bd66a7f,,"",,NOT_IN_BROMA,-,-,false,false
"Dil deewana kahin",43609,delivered,6a47a1cd72193f420bd66a82,,"",,NOT_IN_BROMA,-,-,false,false
"Dil Deewana Na Jaane",43607,delivered,6a47ab84b1de8b210ab4d6c4,,"",,NOT_IN_BROMA,-,-,false,false
"Dil Deewana",43605,delivered,6a47ac12b1de8b210ab4d6c7,,"",,NOT_IN_BROMA,-,-,false,false
"Dil Jaane Jigar Tujh Pe",43603,delivered,6a47ace0b1de8b210ab4d6ca,,"",,NOT_IN_BROMA,-,-,false,false
"Dil jaane jigar tujh",43601,delivered,6a47ad5db1de8b210ab4d6cd,,"",,NOT_IN_BROMA,-,-,false,false
"Dil Jane Jigar",43599,delivered,6a47ae0fb1de8b210ab4d6d0,,"",,NOT_IN_BROMA,-,-,false,false
"Dil ka diya hai tujhe",43597,delivered,6a47aebab1de8b210ab4d6d3,,"",,NOT_IN_BROMA,-,-,false,false
"Dil ka har ek raaz",43595,delivered,6a47af5eb1de8b210ab4d6d6,,"",,NOT_IN_BROMA,-,-,false,false
"Dil ka junoon",43593,delivered,6a47b134b1de8b210ab4d6d9,,"",,NOT_IN_BROMA,-,-,false,false
"Dil karta hai bas dekhte",43591,delivered,6a47b206b1de8b210ab4d6dc,,"",,NOT_IN_BROMA,-,-,false,false
"Dil ke afsane likhe",43589,delivered,6a47b28ab1de8b210ab4d6df,,"",,NOT_IN_BROMA,-,-,false,false
"release aws test",,cancelled,6a46591da7d8ca07e5c75621,,"",,NO_BROMA_ID,-,-,false,false
"Pyar Ki Dagar Pe",43679,delivered,6a45ebae85cfdba38620b0ab,,"",,NOT_IN_BROMA,-,-,false,false
"SAIYAN CHURA LE GAYA DIL MERA",43677,delivered,6a45ec1d85cfdba38620b0ae,,"",,NOT_IN_BROMA,-,-,false,false
"Sua Saal Pehle",43583,delivered,6a45ec8585cfdba38620b0b1,,"",,NOT_IN_BROMA,-,-,false,false
"Tera Naam Liya",43581,delivered,6a45ed0385cfdba38620b0b4,,"",,NOT_IN_BROMA,-,-,false,false
"Tera Nam Liya Tujhe Yaad Kiya",43579,delivered,6a45ed7e85cfdba38620b0b7,,"",,NOT_IN_BROMA,-,-,false,false
"Maar Dunga Main",43844,cancelled,6a43b9b463d9e483edd4c633,,"",,NOT_IN_BROMA,-,-,false,false
"Lagi Tumse Man Ki Lagan",43259,cancelled,6a45bcd985cfdba38620afb1,,"Release deleted by admin",,NOT_IN_BROMA,-,-,false,false
"Kise Nu Pasand Chitte Chole",43258,cancelled,6a45be5d85cfdba38620afb4,,"Release deleted by admin",,NOT_IN_BROMA,-,-,false,false
"Main Toota Hoon",43237,cancelled,6a45bb3485cfdba38620afae,,"Release deleted by admin",,NOT_IN_BROMA,-,-,false,false
"test reject 1 july",,cancelled,6a4517a607147aac8e17dc0d,,"",,NO_BROMA_ID,-,-,false,false
"Nazar Chahti Hai",43159,delivered,6a4536e3161d7aa451fcd5e0,,"",,NOT_IN_BROMA,-,-,false,false
"Mujhy Tum Nazar Se",43157,cancelled,6a453989161d7aa451fcd5e3,,"Release deleted by admin",,NOT_IN_BROMA,-,-,false,false
"Deewani Deewani Main Teri",43149,delivered,6a452605161d7aa451fcd5d0,,"",,NOT_IN_BROMA,-,-,false,false
"O Soniya Ishq Hai Tumse",43142,delivered,6a4526af161d7aa451fcd5d3,,"",,NOT_IN_BROMA,-,-,false,false
"Angoor Wali Bagiya",43140,delivered,6a44fb32161d7aa451fcd4dc,,"",,NOT_IN_BROMA,-,-,false,false
"Sajan Mera Uss Paar",43136,delivered,6a44fc20161d7aa451fcd4f1,,"",,NOT_IN_BROMA,-,-,false,false
"Hansta Hua Nurani Chehra",43134,delivered,6a44fc44161d7aa451fcd4f4,,"",,NOT_IN_BROMA,-,-,false,false
"Ankhon Mein Mohab",43132,delivered,6a44fce5161d7aa451fcd4f7,,"",,NOT_IN_BROMA,-,-,false,false
"Is Dil Ko Badnaam Mat Karo",43129,delivered,6a44fcf3161d7aa451fcd4fa,,"",,NOT_IN_BROMA,-,-,false,false
"Jhume Re Manwa Jhume",43127,delivered,6a44fd7d161d7aa451fcd4fd,,"",,NOT_IN_BROMA,-,-,false,false
"Ankhon Mein",43125,delivered,6a44ff23161d7aa451fcd500,,"",,NOT_IN_BROMA,-,-,false,false
"Apni bhi zindagi",43123,delivered,6a450061161d7aa451fcd503,,"",,NOT_IN_BROMA,-,-,false,false
"Aye Dil Aye",43118,delivered,6a450343161d7aa451fcd509,,"",,NOT_IN_BROMA,-,-,false,false
"Aye Meri Natkh",43116,delivered,6a450540161d7aa451fcd50c,,"",,NOT_IN_BROMA,-,-,false,false
"Aye Meri Natkhati Colleg",43114,delivered,6a45069f161d7aa451fcd50f,,"",,NOT_IN_BROMA,-,-,false,false
"Aye Meri Natkhati",43112,delivered,6a450860161d7aa451fcd512,,"",,NOT_IN_BROMA,-,-,false,false
